,발화문,상황,1번 감정,1번 감정세기,2번 감정,2번 감정세기,3번 감정,3번 감정세기,4번 감정,4번감정세기,5번 감정,5번 감정세기,나이,성별
3404,아니 요즘 다들 왜 이러지?,angry,angry,1,angry,2,angry,2,angry,1,angry,2,48,female
3405,정말 유명한 유튜버들이 다 뒷광고를 하고 있었어.,angry,angry,1,angry,2,angry,2,angry,1,angry,2,48,female
3406,드디어 구매한 노트북이 도착했어 뜯어 봐야지.,happiness,happiness,1,happiness,1,happiness,1,happiness,2,happiness,2,46,female
3407,그럼 실망스럽지 그런데 사과도 억지로 하고 있는 거야.,angry,angry,1,angry,2,angry,2,angry,1,angry,2,48,female
3408,억지로 하는 사과는 진정성이 절대 없어.,angry,angry,1,angry,2,angry,2,angry,1,angry,2,48,female
3409,새로 산 노트북으로 만화 작업을 할 거야 너무 기대가 돼.,happiness,happiness,1,happiness,1,happiness,1,happiness,1,happiness,1,46,female
3411,노트북을 밖에 가지고 나갈 일이 생길 수도 있으니까 보험 가입을 생각해 봐야겠어.,happiness,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
3412,아침에 일어나 보니 주변이 다 물바다야 나갈 수가 없어.,fear,surprise,1,fear,2,sadness,2,fear,1,fear,2,48,female
3413,많이 놀랐지 아침에 일어나 보니 재난 문자가 잔뜩 와 있더라고 피하라고.,fear,surprise,1,fear,2,sadness,2,sadness,1,sadness,2,48,female
3414,양 옆으로 다 꽉 막혔어.,fear,surprise,1,fear,2,sadness,2,fear,1,sadness,2,48,female
3415,다행히 우리 집 빼고 다 잠긴 거야 난 괜찮아.,fear,neutral,0,fear,2,sadness,2,sadness,1,sadness,1,48,female
3416,최종 발표를 맞췄으니깐 모든게 다 끝난 거야.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,46,female
3417,여유를 갖고 음악을 듣는 것도 좋겠다.,happiness,happiness,1,happiness,1,happiness,2,happiness,1,happiness,1,46,female
3418,헐 나 이벤트에 당첨되었어.,happiness,surprise,1,happiness,2,happiness,2,surprise,1,happiness,2,48,female
3421,당연하지 아주 비싼 향수야.,happiness,happiness,2,happiness,2,happiness,2,happiness,1,happiness,1,48,female
3422,아니 아직 안 했어 선물 오면 해야지.,happiness,happiness,1,happiness,2,happiness,2,happiness,1,neutral,0,48,female
3423,쉬면서 여행 다닐 계획을 세워 봐야겠어.,happiness,happiness,1,happiness,1,happiness,1,happiness,1,happiness,2,46,female
3424,내 휴가가 엉망이야,angry,angry,1,angry,2,sadness,2,sadness,1,sadness,2,48,female
3425,휴가냄과 동시에 장마철이라 겹쳤대 하루 종일 비가 와.,angry,sadness,2,angry,2,sadness,2,sadness,1,sadness,2,48,female
3426,가족들이랑 동해 바다 가기로 했었어.,angry,sadness,2,angry,1,sadness,2,sadness,1,sadness,2,48,female
3427,회사가 바빠서 거의 1년만에 휴가를 받은 것 같아.,angry,sadness,1,angry,1,sadness,2,sadness,1,sadness,2,48,female
3428,아무래도 그래야 할 것 같아 영화 보고 싶다.,angry,neutral,0,happiness,1,sadness,2,sadness,1,sadness,2,48,female
3429,아까 해피랑 산책하다 정말 깜짝 놀랐어.,surprise,surprise,2,surprise,2,surprise,1,sadness,1,sadness,2,48,female
3430,갑자기 목줄이 끊어져서 버린 거야.,surprise,surprise,2,surprise,2,surprise,1,neutral,0,sadness,2,48,female
3431,다행히 지나가던 아저씨께서 잡아 주셨어.,surprise,neutral,0,surprise,2,sadness,1,neutral,0,sadness,2,48,female
3432,다행히 사람이 많지가 않았어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,sadness,2,48,female
3433,지금은 진정됐지 하지만 또 그럴까 봐 무서워.,surprise,fear,1,fear,2,sadness,1,fear,1,fear,2,48,female
3434,나 축하해줘! 좋은 일이 있었어.,happiness,happiness,1,happiness,2,happiness,2,happiness,1,neutral,0,48,female
3435,마라톤 대회 신청했었잖아. 그런데 그 대회에서 내 실력이 아주 좋더라고.,happiness,happiness,1,happiness,2,happiness,2,happiness,1,happiness,1,48,female
3436,선수처럼 잘하진 않지만 그리고 나 완주했고 시간도 엄청 많이 단축했어.,happiness,happiness,1,happiness,2,happiness,2,happiness,1,neutral,0,48,female
3438,그럼! 같이 연습하고 같이 신청한 사람들이 있지.,happiness,happiness,1,happiness,2,happiness,2,happiness,1,happiness,1,48,female
3439,나 요즘 주식 하는데 힘들어.,sadness,sadness,2,sadness,1,sadness,2,sadness,1,sadness,2,48,female
3440,친구가 좋은 주식 있다고 해서 시작하게 되었어.,sadness,sadness,1,sadness,1,sadness,2,sadness,1,sadness,1,48,female
3441,생명과학 분야야. 주식은 정말 괜찮아.,sadness,neutral,0,neutral,0,sadness,1,sadness,1,sadness,1,48,female
3442,처음 구입했을 때보다 많이 떨어졌어.,sadness,sadness,1,sadness,2,sadness,2,sadness,1,sadness,2,48,female
3443,그래? 나도 그렇게 생각해.,sadness,sadness,1,sadness,1,sadness,2,sadness,1,sadness,2,48,female
3445,잠결에 들어서 그런가 폭탄 터지는 소리가 들리더라고.,surprise,surprise,1,surprise,2,surprise,2,neutral,0,fear,2,48,female
3446,사실은 천둥 소리였어. 그게 그렇게 크게 들렸어!,surprise,surprise,1,surprise,2,sadness,2,disgust,1,fear,1,48,female
3447,지금은 많이 진정되었어. 걱정하지 마.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,sadness,1,48,female
3448,다행히 천둥만 몇 번 치더니 사그라 들었어.,surprise,neutral,0,surprise,2,sadness,1,neutral,0,neutral,0,48,female
3450,맞아. 우리 화장실 환기 될만한 곳이 없어.,angry,fear,1,angry,2,disgust,2,disgust,1,sadness,2,48,female
3451,그래서 그런가 하루종일 화장실 청소만 하고 있는 기분이야.,angry,disgust,1,angry,2,sadness,2,disgust,1,sadness,2,48,female
3452,내가 그거까진 생각 못했네.,angry,surprise,1,angry,1,sadness,1,neutral,0,sadness,2,48,female
3453,당연히 당장 사야지! 좋은 제품 추천해줘.,angry,happiness,1,happiness,1,sadness,1,disgust,1,sadness,1,48,female
3455,내가 음식물 쓰레기를 버렸지 뭐야.,disgust,sadness,1,disgust,2,disgust,2,disgust,1,sadness,2,48,female
3457,쓰레기 냄새 나는데 방향제 냄새랑 섞이면 어떡해.,disgust,disgust,1,disgust,2,disgust,2,disgust,1,sadness,2,48,female
3458,그렇지 뭐. 내가 실수한 거잖아.,disgust,disgust,1,disgust,2,disgust,1,disgust,1,sadness,2,48,female
3459,나 드디어 구매한 노트북이 오늘 왔어!,happiness,happiness,1,happiness,1,happiness,1,happiness,1,surprise,2,48,female
3460,비싼 건 못 샀어. 알바비를 모아서 산 거야.,happiness,neutral,0,happiness,1,sadness,1,happiness,1,happiness,1,48,female
3461,그래야 되겠지? 사용 설명서 보고 한 번 해볼게.,happiness,neutral,0,happiness,1,happiness,2,happiness,1,happiness,1,48,female
3462,영화도 다운 받아 볼거고 프로젝트도 해야 돼.,happiness,neutral,0,happiness,1,happiness,2,happiness,1,neutral,0,48,female
3463,당연히 그런 건 가입 해야지.,happiness,neutral,0,happiness,1,happiness,1,happiness,1,angry,1,48,female
3464,"어우, 상사 새끼는 왜 집에 안가고 내 옆에 처 앉아갖고 지랄이야.",angry,angry,2,angry,2,angry,2,angry,2,angry,2,48,female
3465,니가 안 당해봐서 그래. 그 새끼가 얼마나 악랄한데!,angry,angry,2,angry,2,angry,2,angry,2,angry,2,48,female
3466,화가 풀리는 음악으로 부탁해.,angry,neutral,0,angry,1,angry,1,angry,1,sadness,1,48,female
3467,짭새가 우리 동네 몰려왔어! 구경갔다 왔어.,neutral,neutral,0,fear,1,angry,2,neutral,0,surprise,1,48,female
3468,그러니깐. 나도 궁금해. 못 보고 그냥 왔어.,neutral,neutral,0,fear,1,sadness,1,neutral,0,sadness,1,48,female
3469,근처에도 못 오게 하더라고. 그리고 짭새라고 계속 할 거야.,neutral,angry,2,fear,1,angry,2,disgust,1,angry,2,48,female
3470,짭새가 몰려와서 구경 좀 하고 왔어.,neutral,angry,1,fear,1,sadness,2,disgust,1,angry,2,48,female
3471,짭새 구경 갔다 우산도 잃어버리고 왔어.,neutral,angry,1,angry,1,angry,2,disgust,1,angry,2,48,female
3472,난 괜찮아. 너 걱정이나 하셔요.,neutral,disgust,2,angry,1,angry,2,disgust,1,angry,1,48,female
3473,짭새가 몰려와서 구경하고 왔어.,neutral,neutral,0,fear,1,angry,2,disgust,1,angry,1,48,female
3474,그러니까 나도 궁금해서 갔다왔는데 못 보게 하더라고?,neutral,angry,1,fear,1,angry,2,neutral,0,angry,2,48,female
3475,그런 건 아닌 것 같아. 왜 왔는지 궁금하다.,neutral,neutral,0,fear,1,angry,2,neutral,0,neutral,0,48,female
3476,그런 건 다행히 없었어.,surprise,neutral,0,surprise,1,sadness,2,neutral,0,neutral,0,35,female
3477,어. 사람들도 괜찮았어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,35,female
3478,지금은 괜찮아. 고마워.,surprise,neutral,0,happiness,1,happiness,1,neutral,0,neutral,0,35,female
3480,마라톤에서 기록을 갱신했어!,happiness,happiness,1,happiness,2,happiness,2,happiness,2,happiness,2,35,female
3482,너무너무 좋았어.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,35,female
3483,어. 크루가 있어.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,neutral,0,35,female
3484,나 요새 주식을 시작했는데.,sadness,fear,1,sadness,1,sadness,1,sadness,1,sadness,2,35,female
3486,그래. 좀 참아보려구.,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,35,female
3487,천둥 번개가 엄청났어!,surprise,surprise,2,surprise,2,fear,2,fear,1,fear,2,35,female
3488,진짜 놀랬지.,surprise,surprise,1,surprise,2,sadness,2,disgust,1,surprise,2,35,female
3490,어. 없어. 그런거.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,35,female
3491,화장실은 청소를 아무리 해도 곰팡이가 안 없어져.,angry,disgust,2,angry,2,disgust,2,disgust,2,angry,2,35,female
3492,그런건가? 알 수 없지.,angry,neutral,0,angry,1,sadness,2,disgust,2,sadness,1,35,female
3493,고마워.,angry,happiness,1,happiness,1,happiness,2,happiness,1,happiness,1,35,female
3494,그거 한 번 써 볼까?,angry,happiness,1,happiness,1,happiness,1,neutral,0,happiness,1,35,female
3495,응! 알겠어.,angry,neutral,0,happiness,1,neutral,0,neutral,0,happiness,1,35,female
3497,"오, 그거 좋은 생각.",disgust,surprise,1,happiness,1,happiness,1,surprise,1,neutral,0,35,female
3499,드디어 새로 구매한 노트북이 도착했어!,happiness,happiness,1,happiness,1,happiness,2,happiness,2,happiness,2,35,female
3501,그래. 그럴게. 고마워.,happiness,happiness,1,happiness,1,happiness,2,happiness,1,happiness,2,35,female
3503,그래 알겠어.,happiness,neutral,0,happiness,1,happiness,2,happiness,2,happiness,2,35,female
3504,아 짜증나! 그 새끼는 할일 없으면 집에나 갈 것이지 진짜!,angry,disgust,2,angry,2,angry,2,angry,2,angry,2,35,female
3505,몰라. 안들리는데 뭐 어때.,angry,disgust,2,angry,1,angry,2,angry,1,angry,2,35,female
3506,나 오늘 짭새가 있길래 구경 다녀 왔어.,neutral,neutral,0,fear,1,angry,2,neutral,0,angry,1,35,female
3508,나도 잘 몰라. 그냥 한 10분?,neutral,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,35,female
3509,나 짭새가 몰려 있어서 구경 다녀 왔어.,neutral,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,35,female
3510,아니. 우산 없어.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,angry,1,35,female
3511,요즘 건강은 너무 좋아.,neutral,happiness,1,happiness,1,sadness,1,neutral,0,happiness,1,35,female
3512,나 짭새가 몰려 있길래 구경 다녀 왔어.,neutral,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,35,female
3513,그건 잘 몰라.,neutral,disgust,1,fear,1,sadness,1,neutral,0,neutral,0,35,female
3514,"음, 그것도 아닌 것 같아.",neutral,neutral,0,fear,1,sadness,1,neutral,0,sadness,1,35,female
3515,어떻게든 상황 보고서 정 안되면 팔아야겠지. 속상해도.,sadness,sadness,1,sadness,1,sadness,1,sadness,1,sadness,2,46,female
3517,잠이 안 와서 뒤척하다가 겨우 잠들었는데 천둥번개 소리가 엄청 요란해서 깼어!,surprise,surprise,2,surprise,2,sadness,1,neutral,0,fear,2,46,female
3518,너무 시끄럽고 요란해서 잠이 확 달아났어. 얼마나 무서웠는지.,surprise,surprise,1,surprise,2,sadness,1,disgust,1,fear,2,46,female
3519,지금은 괜찮은데 밤에는 정말 무서웠어! 악몽 같애.,surprise,fear,1,fear,2,fear,1,fear,1,fear,1,46,female
3520,다행히 큰 피해는 없었어. 그냥 바람이 요란스러워서 거리만 지저분해졌을 뿐이야.,surprise,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,46,female
3522,집이 너무 오래 됐어. 환기도 잘 안되고 습해.,angry,sadness,1,angry,2,disgust,1,disgust,1,sadness,1,46,female
3523,정말이지 장마가 너무 길어. 가뜩이나 습한데 더 냄새가 나는 것 같아.,angry,disgust,2,angry,2,disgust,1,disgust,1,sadness,1,46,female
3524,써보기도 했지. 그런데 잘 안 돼. 냄새가 빠지지를 않아.,angry,sadness,1,angry,2,sadness,1,disgust,1,sadness,1,46,female
3525,그러면 추천 좀 해줘봐. 내가 쓰는 건 효과가 없어.,angry,neutral,0,angry,2,sadness,1,neutral,0,sadness,1,46,female
3527,쓰레기통에 음식물이 들어간 것 같아. 내 실수야.,disgust,sadness,1,disgust,2,disgust,2,disgust,1,sadness,2,46,female
3528,그래야지. 얼른 치워서 냄새도 빠져나가게 해야지.,disgust,neutral,0,disgust,2,disgust,2,neutral,0,sadness,2,46,female
3529,결국에는 대청소를 해야할 것 같아. 너무 지저분하니까 벌레까지 있는 것 같아.,disgust,neutral,0,disgust,2,disgust,2,disgust,1,sadness,1,46,female
3531,300만원이 조금 넘어. 내가 요번에는 제대로 투자 좀 했지.,happiness,happiness,1,happiness,1,happiness,1,happiness,1,neutral,0,46,female
3532,할게 너무 많지. 영화도 볼 거고 노래도 듣고 게임도 하고 쇼핑도 하고 채팅도 하고. 너무 신나.,happiness,happiness,1,happiness,1,happiness,1,happiness,1,neutral,0,46,female
3533,그래. 참고할게. 상황봐서 보험에 들 수 있으면 들어놓지 뭐.,happiness,neutral,0,happiness,1,happiness,1,happiness,1,neutral,0,46,female
3534,"아, 짜증나. 그 새끼는 할 일이 없으면 집에나 갈 것이지. 결혼 못한 히스테리를 나한테 부리는 건가? 왜 항상 나한테만 그러지?",angry,disgust,2,angry,2,angry,1,angry,1,angry,2,46,female
3535,나를 너무 힘들게 하고 괴롭히니까. 나도 화가 나서 그래.,angry,angry,2,angry,2,angry,1,angry,1,angry,2,46,female
3536,"요즘 노래는 잘 모르겠고, 옛날 노래, 트로트 같은 거 신나는 거 좋아해.",angry,neutral,0,happiness,1,sadness,1,angry,1,neutral,0,46,female
3538,누가 시비를 걸었는지 싸우고 있었어. 그걸 말리는 것 같았어.,neutral,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,46,female
3539,그래. 알았어. 많이 보지도 못했어. 사람들이 많아서 그냥 왔어.,neutral,disgust,1,fear,1,sadness,1,neutral,0,neutral,0,46,female
3541,날씨가 좋아서 잠깐 나갔다 왔지. 우산은 있고 내일 걱정은 내일 해.,neutral,neutral,0,angry,1,sadness,1,neutral,0,happiness,1,46,female
3542,건강은 아직은 괜찮은 것 같아. 속을 모르니까 걱정은 되지.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
3544,누가 시비를 걸었는지 싸우고 있었어.,neutral,surprise,1,fear,1,sadness,1,neutral,0,neutral,0,46,female
3545,싸우고 있는거를 말리고 있더라고.,neutral,surprise,1,fear,1,sadness,1,neutral,0,neutral,0,46,female
3547,코로나 때문에 재택근무를 시작하면서 매일매일 집 안에만 있으니까 지치고 우울해.,sadness,sadness,2,sadness,2,sadness,1,sadness,1,sadness,2,46,female
3548,모든 일이 비대면으로 이루어지니까 외출할 일이 없어서 그런지 몸이 처지고 의욕이 없어.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,2,46,female
3549,음악을 들으면 우울한 마음이 좀 나아지려나?,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,46,female
3550,날 위해서 이렇게까지 해주는 거야? 너무 고마워. 잘 듣고 잘 볼게.,sadness,happiness,1,happiness,1,sadness,1,sadness,1,happiness,1,46,female
3553,주변 사람들한테 이벤트에 당첨돼서 비싼 향수를 받았다고 자랑했어. 다들 부러워 해.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,46,female
3554,사람들한테 이벤트에 당첨돼서 향수를 선물로 받았다고 자랑했어. 다들 부러워 해.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,46,female
3555,나 축하해줘! 좋은 일이 생겼어.,happiness,happiness,2,happiness,2,happiness,1,happiness,2,happiness,2,46,female
3556,내가 마라톤 대회에 출전했는데 거기에서 예전 기록을 훨씬 갱신했어.,happiness,happiness,2,happiness,2,happiness,1,happiness,2,happiness,2,46,female
3557,선수는 아니고 내가 달리는 운동을 좋아해서 매번 열리는 마라톤 대회에 출전하고 있어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,46,female
3559,함께 달리는 크루가 있어서 내가 지치고 힘들 때 많이 도와줘. 그래서 기록을 갱신할 수 있었어.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,46,female
3561,내가 빨리 달려가서 해피를 안고왔기 때문에 아무 일도 없었어.,surprise,surprise,1,surprise,2,sadness,1,neutral,0,fear,2,46,female
3562,사람들이 해피가 달려와서 약간 놀라긴 했지만 괜찮았어.,surprise,surprise,1,surprise,2,sadness,1,neutral,0,fear,2,46,female
3563,아까는 해피 때문에 엄청 놀랐는데 지금은 마음이 진정 됐어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,46,female
3565,시간이 지나도 주식이 오르지 않고 계속 떨어지고 있어. 속상해.,sadness,sadness,1,sadness,1,sadness,1,sadness,1,sadness,2,46,female
3566,시간을 가지고 지켜보다보면 어느 순간 주식이 오르겠지?,sadness,fear,1,sadness,1,sadness,1,neutral,0,sadness,2,46,female
3567,나 갇히게 된 거 같아서 너무 두려워!,fear,fear,2,fear,2,fear,1,fear,2,fear,2,46,female
3568,내가 잠을 자는 동안에 비가 너무 많이 와서 우리 동네가 홍수 피해 지역이 됐어. 그래서 고립 됐어.,fear,fear,1,fear,2,sadness,1,fear,1,fear,2,46,female
3569,창 밖을 봤는데 집 주변까지 물이 차올라서 아예 밖으로 나갈 수가 없어.,fear,fear,1,fear,2,sadness,1,fear,1,fear,2,46,female
3570,아직까지 집 안으로 물이 들어오진 않았어. 그런데 물이 들어올까봐 걱정이야.,fear,fear,1,fear,2,sadness,1,fear,1,fear,1,46,female
3572,잠을 자고 있는데 갑자기 천둥 소리가 나서 깜짝 놀라서 깼어.,surprise,surprise,2,surprise,2,sadness,1,disgust,1,surprise,2,46,female
3573,실제로 엄청 큰 천둥 소리 때문에 깜짝 놀라서 잠을 잘 수가 없었어. 너무 무서웠어.,surprise,fear,2,surprise,2,fear,1,disgust,1,fear,2,46,female
3574,다행히 아무런 피해가 없어서 다행이었어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,46,female
3575,아무런 피해가 없어서 정말 다행이었어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,46,female
3576,"아, 짜증나! 그 새끼 일 다 끝났으면 집에나 가지 남아가지고 나한테 뭐라고 해!",angry,angry,2,angry,2,angry,2,angry,2,angry,2,46,female
3577,다른 직원한테는 친절하게 하면서 나한테만 맨날 뭐라고 하니까 화가 나서 그렇지! 정말 너무하지 않아?,angry,angry,2,angry,2,angry,1,angry,2,angry,2,46,female
3578,그래. 욕을 하니까 기분이 더 안 좋다. 나는 신나는 음악 좋아해. 음악이나 듣고 마음 풀어야겠어.,angry,neutral,0,angry,1,sadness,1,angry,1,sadness,2,46,female
3580,내일 비가 많이 온대? 집에 우산이 있긴 해.,neutral,neutral,0,neutral,0,sadness,1,neutral,0,surprise,1,46,female
3581,너가 날씨를 알려줬으니까 내일 집에서 나올 때 우산을 가지고 나올게. 건강은 괜찮아.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,angry,1,46,female
3583,구경하던 사람들이 교통사고가 난 거라고 하는데 정확히 잘 모르겠어. 궁금해.,neutral,surprise,1,fear,1,sadness,1,neutral,0,sadness,1,46,female
3584,구경하던 사람들이 교통사고가 난 거라고 말을 했는데 정확히는 모르겠어. 나도 궁금해.,neutral,surprise,1,fear,1,sadness,1,neutral,0,neutral,0,46,female
3585,나 오늘 짭새가 몰려 있길래 궁금해서 구경 갔다 왔어.,neutral,neutral,0,fear,1,sadness,1,neutral,0,sadness,1,46,female
3586,30분 정도 구경을 했는데 구경하는 사람들이 너무 많아서 무슨 일인지 모르겠더라고.,neutral,neutral,0,fear,1,sadness,1,neutral,0,sadness,2,46,female
3587,30분 정도 구경을 했는데 사람들이 너무 많아서 무슨 일인지 모르겠더라고.,neutral,neutral,0,fear,1,sadness,1,neutral,0,sadness,1,46,female
3588,누가 싸운 거 같긴 하더라고.,neutral,neutral,0,fear,1,sadness,2,neutral,0,neutral,0,33,female
3589,나 오늘 짭새 몰려 있길래 구경 갔다 왔어.,neutral,neutral,0,fear,1,sadness,2,neutral,0,neutral,0,33,female
3591,강남역에서 만나기로 했는데 뭘 먹을지 아직도 못 정했어.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,sadness,2,46,female
3592,오랜만에 친구랑 일식을 먹는게 좋겠어.,neutral,neutral,0,happiness,1,happiness,1,neutral,0,sadness,1,46,female
3594,평점이랑 리뷰가 좋다고 하니까 너무 기대가 돼. 친구랑 같이 가서 잘 먹고 올게.,neutral,happiness,1,happiness,1,happiness,1,happiness,1,happiness,1,46,female
3596,음식점이 너무 많은 강남역이야.,neutral,disgust,1,happiness,1,sadness,1,disgust,1,sadness,2,48,female
3599,그래. 난 애피타이저 푸짐하게 주는 집도 좋아.,neutral,happiness,1,happiness,1,sadness,1,happiness,1,neutral,0,48,female
3600,그래. 완벽한 것 같애. 고마워.,neutral,happiness,1,happiness,1,happiness,1,happiness,1,neutral,0,48,female
3601,일이 바쁘고 많아서 1년만에 받은 휴가인데 아무데도 갈 수가 없어.,angry,sadness,2,angry,1,sadness,1,sadness,1,sadness,2,46,female
3602,휴가 기간 내내 비가 온다고 하니까 아무래도 집에서 즐길 수 있는 방법을 찾아봐야 되겠어.,angry,neutral,0,happiness,1,sadness,1,sadness,1,sadness,1,46,female
3604,어. 한 달 동안 고생한 결과야.,happiness,happiness,1,happiness,2,sadness,1,happiness,1,happiness,1,48,female
3606,그렇잖아도 친구랑 약속했어. 만나기로.,happiness,happiness,1,happiness,1,sadness,1,happiness,1,neutral,0,48,female
3607,알았어. 친구랑 만나서 여행 계획 세울게.,happiness,neutral,0,happiness,1,happiness,1,happiness,1,neutral,0,48,female
3608,화장실 청소는 계속 해도 곰팡이가 없어지질 않아.,angry,fear,1,angry,2,disgust,1,disgust,1,sadness,2,46,female
3609,그래서 신경 쓰고 더 청소를 열심히 하는데 곰팡이가 안 없어져.,angry,fear,1,angry,2,disgust,1,disgust,1,sadness,2,46,female
3611,장마철이라서 곰팡이가 많이 생기고 없어지질 않아서 어떻게 처리해야 할지 걱정이야.,angry,fear,1,angry,2,disgust,1,disgust,1,sadness,2,46,female
3613,곰팡이 제거제가 곰팡이를 없애는데 효과가 있어?,angry,neutral,0,angry,1,disgust,1,disgust,1,surprise,1,46,female
3614,맞아. 나가서 활동을 해야 되는데 활동을 못하니까 몸이 너무 근질근질해.,sadness,disgust,1,sadness,1,sadness,2,sadness,1,sadness,2,48,female
3615,곰팡이 제거제가 곰팡이를 제거하는데 효과가 있다고 하니까 나 구매해 볼래.,angry,neutral,0,happiness,1,sadness,1,disgust,1,sadness,1,46,female
3616,그래. 영화가 좋지.,sadness,neutral,0,happiness,1,sadness,1,disgust,1,angry,1,48,female
3617,아니 요즘 왜들 그러는지 이해가 안 가.,angry,angry,2,angry,2,angry,2,angry,1,angry,2,48,female
3618,유명한 유튜버가 괜찮은 제품이라고 하면서 사기를 유도하더라고! 그런데 알고 봤더니 뒷광고였어.,angry,angry,2,angry,2,angry,2,angry,1,angry,2,48,female
3619,더 실망스러운 건 사과도 먼저 안했다는 거야.,angry,angry,1,angry,2,angry,2,angry,1,angry,1,48,female
3620,사람들 때문에 억지로 하는 사과는 진정성이 없어.,angry,angry,1,angry,2,angry,2,angry,1,angry,2,48,female
3621,그런 영상도 있어? 좋은 거 한 번 추천 해줘봐.,angry,neutral,0,angry,1,angry,1,angry,1,sadness,1,48,female
3623,자고 일어났더니 우리 집 빼고 주위가 다 물바다야.,fear,fear,1,fear,2,fear,2,fear,1,fear,2,48,female
3624,자다가 재난 문자를 못 봤어.,fear,fear,1,fear,2,sadness,2,fear,1,sadness,2,48,female
3625,그렇지. 주위가 다 물 바다야.,fear,fear,1,fear,2,sadness,2,fear,1,sadness,2,48,female
3626,다행히 우리 집까지는 들어오지 않았어. 그래서 나는 괜찮아.,fear,neutral,0,fear,2,sadness,2,fear,1,sadness,2,48,female
3632,그럼! 완전히 비싼 향수야.,happiness,happiness,1,happiness,2,happiness,2,happiness,1,angry,1,48,female
3633,아직 안했어. 선물이 오면 하려고.,happiness,neutral,0,happiness,2,happiness,2,happiness,1,angry,1,48,female
3634,프로젝트를 진행하느라고 한 달 동안 친구를 못 만났는데 이번 기회에 만나봐야겠어.,happiness,happiness,1,happiness,2,happiness,2,happiness,1,neutral,0,46,female
3636,프로젝트를 진행하느라고 머리가 복잡했었는데 여행을 가서 머리 좀 식히고 와야겠어.,happiness,happiness,1,happiness,1,happiness,1,happiness,1,happiness,1,46,female
3637,내 휴가랑 장마철이랑 겹쳤어.,angry,sadness,2,angry,2,sadness,2,sadness,1,sadness,2,48,female
3638,휴가는 동해 바다 가기로 했었거든.,angry,sadness,1,angry,1,sadness,2,sadness,1,sadness,2,48,female
3639,회사가 바빠서 딱 1년 만에 가는 휴가야.,angry,disgust,2,angry,1,sadness,2,angry,1,sadness,2,48,female
3640,알았어. 난 영화를 보고 싶어.,angry,neutral,0,happiness,1,sadness,2,sadness,1,sadness,1,48,female
3642,냄새가 너무 심해서 버리려고 밖에 내놨어.,disgust,neutral,0,disgust,2,disgust,2,disgust,1,disgust,2,46,female
3643,고약한 냄새가 방향제로 처리 가능할까?,disgust,fear,1,disgust,2,disgust,1,disgust,1,sadness,2,46,female
3644,멀쩡하던 목줄이 딱 끊어져버린 거야!,surprise,surprise,1,surprise,2,sadness,2,disgust,1,surprise,2,48,female
3645,내가 음식물 쓰레기를 쓰레기통에 버려서 생긴 일이니까 어쩔 수 없이 해야지. 얼른 청소 해야겠어.,disgust,neutral,0,disgust,2,sadness,2,sadness,1,sadness,1,46,female
3647,주변에 생각보다 사람이 없었어. 다행이지.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,sadness,1,48,female
3648,당연히 지금은 진정이 됐지.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,48,female
3650,노트북을 150만원 정도 주고 구입했는데 배송이 늦게 돼서 걱정하고 있었어. 그런데 오늘 도착해서 너무 기분이 좋아.,happiness,happiness,2,happiness,1,happiness,1,happiness,1,happiness,1,46,female
3651,지금 노트북을 꼼꼼히 살펴봤는데 이상이 하나도 없어. 작동도 너무나 잘 돼.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,46,female
